序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注
1,北京大学,4111010001,教育部,北京市,本科,公办985/211
2,中国人民大学,4111010002,教育部,北京市,本科,公办985/211
3,清华大学,4111010003,教育部,北京市,本科,公办985/211
4,北京交通大学,4111010004,教育部,北京市,本科,公办211
5,北京工业大学,4111010005,北京市教委,北京市,本科,公办211
6,北京航空航天大学,4111010006,工信部,北京市,本科,公办985
7,北京理工大学,4111010007,工信部,北京市,本科,公办985
8,北京科技大学,4111010008,教育部,北京市,本科,公办211
9,北京化工大学,4111010009,教育部,北京市,本科,公办211
10,北京邮电大学,4111010013,教育部,北京市,本科,公办211
11,北京林业大学,4111010022,教育部,北京市,本科,公办211
12,北京中医药大学,4111010026,教育部,北京市,本科,公办211
13,北京师范大学,4111010027,教育部,北京市,本科,公办985
14,首都师范大学,4111010028,北京市教委,北京市,本科,公办
15,北京外国语大学,4111010030,教育部,北京市,本科,公办211
16,中国传媒大学,4111010033,教育部,北京市,本科,公办211
17,中央财经大学,4111010034,教育部,北京市,本科,公办211
18,对外经济贸易大学,4111010036,教育部,北京市,本科,公办211
19,北京工商大学,4111010037,北京市教委,北京市,本科,公办
20,北京物资学院,4111010038,北京市教委,北京市,本科,公办
21,北京城市学院,4111010042,北京市教委,北京市,本科,民办
22,北京吉利学院,4111010043,北京市教委,北京市,本科,民办
23,北京工商大学嘉华学院,4111013630,北京市教委,北京市,本科,民办独立学院
24,北京工业大学耿丹学院,4111013631,北京市教委,北京市,本科,民办独立学院
25,首都体育学院,4111010029,北京市教委,北京市,本科,公办
